编号,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,Reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,80.29,80.29,3.0,3.0,1.0,80.29
0.0,2.0,3.0,1.0,80.29,80.29,3.0,3.0,1.0,1.0,1.0,3.0,2.0,68.0,74.14500000000001,2.0,4.0,2.0,68.0
0.0,1.0,3.0,2.0,68.0,74.14500000000001,2.0,4.0,2.0,1.0,1.0,3.0,3.0,174.4,107.56333333333335,1.6666666666666667,5.0,3.0,174.4
0.0,1.0,3.0,3.0,174.4,107.56333333333335,1.6666666666666667,5.0,3.0,1.0,1.0,3.0,4.0,65.96,97.16250000000001,1.5,6.0,4.0,65.96
0.0,1.0,3.0,4.0,65.96,97.16250000000001,1.5,6.0,4.0,0.0,0.0,3.0,5.0,209.0,119.53000000000002,1.4,7.0,5.0,209.0
0.0,0.0,3.0,5.0,209.0,119.53000000000002,1.4,7.0,5.0,2.0,2.0,3.0,6.0,148.53,124.36333333333334,1.3333333333333333,8.0,7.0,148.53
0.0,2.0,3.0,6.0,148.53,124.36333333333334,1.3333333333333333,8.0,7.0,3.0,3.0,3.0,7.0,138.0,126.31142857142858,1.2857142857142858,9.0,8.0,138.0
0.0,3.0,3.0,7.0,138.0,126.31142857142858,1.2857142857142858,9.0,8.0,1.0,1.0,3.0,8.0,13.65,112.22875,1.25,10.0,9.0,13.65
0.0,1.0,3.0,8.0,13.65,112.22875,1.25,10.0,9.0,1.0,1.0,3.0,9.0,168.24,118.45222222222225,1.2222222222222223,11.0,10.0,168.24
0.0,1.0,3.0,9.0,168.24,118.45222222222225,1.2222222222222223,11.0,10.0,1.0,1.0,3.0,10.0,66.49,113.25600000000001,1.2,12.0,11.0,66.49
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,242.92,242.92,1.0,1.0,2.0,242.92
1.0,3.0,3.0,1.0,242.92,242.92,1.0,1.0,2.0,2.0,2.0,3.0,2.0,99.8,171.35999999999999,1.0,2.0,3.0,99.8
1.0,2.0,3.0,2.0,99.8,171.35999999999999,1.0,2.0,3.0,1.0,1.0,3.0,3.0,138.0,160.23999999999998,1.0,3.0,4.0,138.0
1.0,1.0,3.0,3.0,138.0,160.23999999999998,1.0,3.0,4.0,1.0,1.0,3.0,4.0,65.96,136.67,1.0,4.0,5.0,65.96
1.0,1.0,3.0,4.0,65.96,136.67,1.0,4.0,5.0,3.0,3.0,3.0,5.0,230.07,155.35,1.0,5.0,7.0,230.07
1.0,3.0,3.0,5.0,230.07,155.35,1.0,5.0,7.0,3.0,3.0,3.0,5.0,230.07,155.35,1.2,6.0,7.0,0.0
1.0,3.0,3.0,5.0,230.07,155.35,1.2,6.0,7.0,3.0,3.0,3.0,6.0,230.04,167.79833333333332,1.1666666666666667,7.0,9.0,230.04
